GEOID,CTYNAME,RACE,SEX,AGEGRP,YEAR,POPULATION
47009,Blount,1,1,6,2022,3665
47009,Blount,1,1,7,2022,3891
47009,Blount,1,1,8,2022,3488
47009,Blount,1,1,9,2022,3733
47009,Blount,1,1,10,2022,3620
47009,Blount,1,1,11,2022,4482
47009,Blount,1,1,12,2022,4649
47009,Blount,1,1,13,2022,4691
47009,Blount,1,1,14,2022,4073
47009,Blount,1,1,15,2022,3583
47009,Blount,1,1,16,2022,2701
47009,Blount,1,1,17,2022,1463
47009,Blount,1,1,18,2022,1026
47009,Blount,1,2,1,2022,2682
47009,Blount,1,2,2,2022,2992
47009,Blount,1,2,3,2022,3362
47009,Blount,1,2,4,2022,3277
47009,Blount,1,2,5,2022,3380
47009,Blount,1,2,6,2022,3554
47009,Blount,1,2,7,2022,3899
47009,Blount,1,2,8,2022,3531
47009,Blount,1,2,9,2022,3846
47009,Blount,1,2,10,2022,3757
47009,Blount,1,2,11,2022,4543
47009,Blount,1,2,12,2022,4927
47009,Blount,1,2,13,2022,4883
47009,Blount,1,2,14,2022,4676
47009,Blount,1,2,15,2022,4114
47009,Blount,1,2,16,2022,3082
47009,Blount,1,2,17,2022,1906
47009,Blount,1,2,18,2022,1726
47009,Blount,2,1,1,2022,100
47009,Blount,2,1,2,2022,122
47009,Blount,2,1,3,2022,130
47009,Blount,2,1,4,2022,147
47009,Blount,2,1,5,2022,195
47009,Blount,2,1,6,2022,156
47009,Blount,2,1,7,2022,207
47009,Blount,2,1,8,2022,151
47009,Blount,2,1,9,2022,152
47009,Blount,2,1,10,2022,117
47009,Blount,2,1,11,2022,135
47009,Blount,2,1,12,2022,123
47009,Blount,2,1,13,2022,138
47009,Blount,2,1,14,2022,104
47009,Blount,2,1,15,2022,61
47009,Blount,2,1,16,2022,47
47009,Blount,2,1,17,2022,21
47009,Blount,2,1,18,2022,17
47009,Blount,2,2,1,2022,123
47009,Blount,2,2,2,2022,110
47009,Blount,2,2,3,2022,110
47009,Blount,2,2,4,2022,134
47009,Blount,2,2,5,2022,131
47009,Blount,2,2,6,2022,108
47009,Blount,2,2,7,2022,123
47009,Blount,2,2,8,2022,88
47009,Blount,2,2,9,2022,107
47009,Blount,2,2,10,2022,110
47009,Blount,2,2,11,2022,125
47009,Blount,2,2,12,2022,126
47009,Blount,2,2,13,2022,120
47009,Blount,2,2,14,2022,138
47009,Blount,2,2,15,2022,120
47009,Blount,2,2,16,2022,55
47009,Blount,2,2,17,2022,32
47009,Blount,2,2,18,2022,34
47009,Blount,3,1,1,2022,288
47009,Blount,3,1,2,2022,337
47009,Blount,3,1,3,2022,292
47009,Blount,3,1,4,2022,248
47009,Blount,3,1,5,2022,234
47009,Blount,3,1,6,2022,230
47009,Blount,3,1,7,2022,211
47009,Blount,3,1,8,2022,222
47009,Blount,3,1,9,2022,244
47009,Blount,3,1,10,2022,196
47009,Blount,3,1,11,2022,184
47009,Blount,3,1,12,2022,147
47009,Blount,3,1,13,2022,114
47009,Blount,3,1,14,2022,75
47009,Blount,3,1,15,2022,38
47009,Blount,3,1,16,2022,29
47009,Blount,3,1,17,2022,17
47009,Blount,3,1,18,2022,16
47009,Blount,3,2,1,2022,320
47009,Blount,3,2,2,2022,289
47009,Blount,3,2,3,2022,277
47009,Blount,3,2,4,2022,231
47009,Blount,3,2,5,2022,225
47009,Blount,3,2,6,2022,211
47009,Blount,3,2,7,2022,220
47009,Blount,3,2,8,2022,246
47009,Blount,3,2,9,2022,173
47009,Blount,3,2,10,2022,157
47009,Blount,3,2,11,2022,155
47009,Blount,3,2,12,2022,118
47009,Blount,3,2,13,2022,89
47009,Blount,3,2,14,2022,67
47009,Blount,3,2,15,2022,34
47009,Blount,3,2,16,2022,20
47009,Blount,3,2,17,2022,19
47009,Blount,3,2,18,2022,25
47009,Blount,4,1,1,2022,188
47009,Blount,4,1,2,2022,184
47009,Blount,4,1,3,2022,208
47009,Blount,4,1,4,2022,187
47009,Blount,4,1,5,2022,179
47009,Blount,4,1,6,2022,165
47009,Blount,4,1,7,2022,108
47009,Blount,4,1,8,2022,83
47009,Blount,4,1,9,2022,86
47009,Blount,4,1,10,2022,116
47009,Blount,4,1,11,2022,69
47009,Blount,4,1,12,2022,84
47009,Blount,4,1,13,2022,98
47009,Blount,4,1,14,2022,61
47009,Blount,4,1,15,2022,55
47009,Blount,4,1,16,2022,46
47009,Blount,4,1,17,2022,28
47009,Blount,4,1,18,2022,29
47009,Blount,4,2,1,2022,189
47009,Blount,4,2,2,2022,180
47009,Blount,4,2,3,2022,230
47009,Blount,4,2,4,2022,186
47009,Blount,4,2,5,2022,161
47009,Blount,4,2,6,2022,138
47009,Blount,4,2,7,2022,124
47009,Blount,4,2,8,2022,116
47009,Blount,4,2,9,2022,142
47009,Blount,4,2,10,2022,122
47009,Blount,4,2,11,2022,117
47009,Blount,4,2,12,2022,118
47009,Blount,4,2,13,2022,106
47009,Blount,4,2,14,2022,82
47009,Blount,4,2,15,2022,69
